x,n=5,n=10,n=15,n=20
-2.995897899999875,0.015128585012744788,1.3880763066742574E-9,2.219335826225688E-16,2.219335826225688E-16
-2.9917957999997498,0.01491053299754752,1.3492831061334699E-9,2.1693757901175558E-16,2.1693757901175558E-16
-2.9876936999996246,0.014710139379664108,1.3128542671880794E-9,2.1960211427085596E-16,2.1960211427085596E-16
-2.9835915999994995,0.01451216243600553,1.2773607658278506E-9,2.2037927038809358E-16,2.2037927038809358E-16
-2.9794894999993744,0.014316576394569732,1.2427798452563366E-9,2.221556272274938E-16,2.221556272274938E-16
-2.9753873999992493,0.014123355721684517,1.209089228182414E-9,2.295941214924824E-16,2.295941214924824E-16
-2.971285299999124,0.013932475120148806,1.1762672056381262E-9,2.2004620348070602E-16,2.2004620348070602E-16
-2.967183199998999,0.013743909527385686,1.1442925323956744E-9,2.2115642650533118E-16,2.2115642650533118E-16
-2.963081099998874,0.013557634113606831,1.1131444596079732E-9,2.2104540420286868E-16,2.2104540420286868E-16
-2.958978999998749,0.013373624279988509,1.0828027250386896E-9,2.1960211427085596E-16,2.1960211427085596E-16
-2.9548768999986237,0.013191855656859435,1.053247527305068E-9,2.1882495815361836E-16,2.1882495815361836E-16
-2.9507747999984986,0.013012304101899906,1.0244595523012378E-9,2.2026824808563106E-16,2.2026824808563106E-16
-2.9466726999983734,0.01283494569835239,9.964198872669527E-10,2.2182256032010628E-16,2.2182256032010628E-16
-2.9425705999982483,0.012659756753243481,9.691100990583124E-10,2.2737367544323206E-16,2.2737367544323206E-16
-2.938468499998123,0.012486713795617317,9.425121607620213E-10,2.1505019986989283E-16,2.1505019986989283E-16
-2.934366399997998,0.012315793574780007,9.166084803391428E-10,2.1760371282653068E-16,2.1760371282653068E-16
-2.930264299997873,0.012146973058555593,8.913818787537054E-10,2.254862963013693E-16,2.254862963013693E-16
-2.926162199997748,0.011980229431552906,8.668155586644133E-10,2.1593837828959295E-16,2.1593837828959295E-16
-2.9220600999976227,0.011815540093443759,8.428931327353339E-10,2.222666495299563E-16,2.222666495299563E-16
