x,Od poczatku,Od konca
-2.995897899999875,2.219335826225688E-16,2.2859492077031975E-16
-2.9917957999997498,2.1693757901175558E-16,2.2781776465308213E-16
-2.9876936999996246,2.1960211427085596E-16,2.2537527399890676E-16
-2.9835915999994995,2.2037927038809358E-16,2.2060131499301862E-16
-2.9794894999993744,2.221556272274938E-16,2.1660451210436805E-16
-2.9753873999992493,2.295941214924824E-16,2.282618538629322E-16
-2.971285299999124,2.2004620348070602E-16,2.2259971643734387E-16
-2.967183199998999,2.2115642650533118E-16,2.1638246749944302E-16
-2.963081099998874,2.2104540420286868E-16,2.2892798767770726E-16
-2.958978999998749,2.1960211427085596E-16,2.3037127760972E-16
-2.9548768999986237,2.1882495815361836E-16,2.2604140781368188E-16
-2.9507747999984986,2.2026824808563106E-16,2.2304380564719394E-16
-2.9466726999983734,2.2182256032010628E-16,2.2604140781368188E-16
-2.9425705999982483,2.2737367544323206E-16,2.2370993946196906E-16
-2.938468499998123,2.1505019986989283E-16,2.1882495815361836E-16
-2.934366399997998,2.1760371282653068E-16,2.242650509742816E-16
-2.930264299997873,2.254862963013693E-16,2.2792878695554463E-16
-2.926162199997748,2.1593837828959295E-16,2.2737367544323206E-16
-2.9220600999976227,2.222666495299563E-16,2.3381296898605795E-16
-2.9179579999974976,2.2071233729548112E-16,2.254862963013693E-16
-2.9138558999973725,2.2370993946196906E-16,2.2604140781368188E-16
-2.9097537999972474,2.2526425169644425E-16,2.2992718839986994E-16
-2.9056516999971223,2.1682655670929308E-16,2.290390099801698E-16
-2.901549599996997,2.2004620348070602E-16,2.2781776465308213E-16
-2.897447499996872,2.2315482794965644E-16,2.2881696537524476E-16
-2.893345399996747,2.2137847111025621E-16,2.294830991900199E-16
-2.8892432999966218,2.1660451210436805E-16,2.2437607327674413E-16
-2.8851411999964967,2.0239365738916603E-16,2.1804780203638074E-16
-2.8810390999963715,2.2237767183241887E-16,2.2892798767770726E-16
-2.8769369999962464,2.2071233729548112E-16,2.2160051571518125E-16
-2.8728348999961213,2.1826984664130577E-16,2.254862963013693E-16
-2.868732799995996,2.2248869413488137E-16,2.270406085358445E-16
-2.864630699995871,2.2104540420286868E-16,2.284838984678572E-16
-2.860528599995746,2.1527224447481786E-16,2.2393198406689406E-16
-2.856426499995621,2.1693757901175558E-16,2.3103741142449507E-16
-2.8523243999954957,2.261524301161444E-16,2.3647750424515833E-16
-2.8482222999953706,2.1660451210436805E-16,2.1738166822160565E-16
-2.8441201999952455,2.1727064591914314E-16,2.2115642650533118E-16
-2.8400180999951203,2.1882495815361836E-16,2.26929586233382E-16
-2.835915999994995,2.1682655670929308E-16,2.235989171595065E-16
-2.83181389999487,2.1327384303049258E-16,2.184918912462308E-16
-2.827711799994745,2.1804780203638074E-16,2.19824158875781E-16
-2.82360969999462,1.779687508474126E-16,1.8396395518038844E-16
-2.8195075999944947,1.7674750552032493E-16,1.8829382497642654E-16
-2.8154054999943696,1.8240964294591322E-16,1.8418599978531347E-16
-2.8113033999942445,1.8285373215576328E-16,1.936228954946273E-16
-2.8072012999941194,1.73749903353837E-16,1.7208456881689927E-16
-2.8030991999939943,1.8351986597053838E-16,1.6797674362578617E-16
-2.798997099993869,1.8118839761882554E-16,1.5998313784848506E-16
-2.794894999993744,1.8107737531636303E-16,1.6042722705833513E-16
-2.790792899993619,1.7541523789077474E-16,1.5698553568199713E-16
-2.786690799993494,1.7563728249569977E-16,1.5998313784848506E-16
-2.7825886999933687,1.7508217098338718E-16,1.574296248918472E-16
-2.7784865999932435,1.7752466163756253E-16,1.5998313784848506E-16
-2.7743844999931184,1.800781745942004E-16,1.6175949468788532E-16
-2.7702823999929933,1.8673951274195132E-16,1.6631140908884845E-16
-2.766180299992868,1.7807977314987512E-16,1.6253665080512291E-16
-2.762078199992743,1.7696955012524996E-16,1.6353585152728557E-16
-2.757976099992618,1.7086332348981158E-16,1.5687451337953462E-16
-2.753873999992493,1.758593271006248E-16,1.5765166949677222E-16
-2.7497718999923677,1.7397194795876202E-16,1.6842083283563624E-16
-2.7456697999922426,1.6486811915683576E-16,1.5831780331154732E-16
-2.7415676999921175,1.680877659282487E-16,1.5998313784848506E-16
-2.7374655999919923,1.6608936448392342E-16,1.6553425297161085E-16
-2.7333634999918672,1.6342482922482304E-16,1.5931700403370997E-16
-2.729261399991742,1.6908696665041133E-16,1.6342482922482304E-16
-2.725159299991617,1.6786572132332367E-16,1.5720758028692216E-16
-2.721057199991492,1.7352785874891196E-16,1.5942802633617247E-16
-2.7169550999913668,1.650901637617608E-16,1.5298873279334656E-16
-2.7128529999912416,1.680877659282487E-16,1.5654144647214706E-16
-2.7087508999911165,1.6708856520608605E-16,1.588729148238599E-16
-2.7046487999909914,1.6364687382974807E-16,1.5432100042289675E-16
-2.7005466999908663,1.6786572132332367E-16,1.559863349598345E-16
-2.696444599990741,1.6864287744056127E-16,1.6153745008296028E-16
-2.692342499990616,1.736388810513745E-16,1.5942802633617247E-16
-2.688240399990491,1.6620038678638595E-16,1.5210055437364646E-16
-2.684138299990366,1.630917623174355E-16,1.567634910770721E-16
-2.6800361999902407,1.630917623174355E-16,1.5865087021893487E-16
-2.6759340999901156,1.5709655798445965E-16,1.532107773982716E-16
-2.6718319999899904,1.709743457922741E-16,1.63202784619898E-16
-2.6677298999898653,1.6686652060116102E-16,1.553202011450594E-16
-2.66362779998974,1.7352785874891196E-16,1.6053824936079763E-16
-2.659525699989615,1.6853185513809876E-16,1.5065726444163374E-16
-2.65542359998949,1.6775469902086114E-16,1.6198153929281035E-16
-2.651321499989365,1.6853185513809876E-16,1.5487611193520934E-16
-2.6472193999892397,1.6719958750854858E-16,1.603162047558726E-16
-2.6431172999891146,1.688649220454863E-16,1.5909495942878494E-16
-2.6390151999889895,1.5698553568199713E-16,1.5187850976872143E-16
-2.6349130999888644,1.6686652060116102E-16,1.5920598173124744E-16
-2.6308109999887392,1.589839371263224E-16,1.5287771049088406E-16
-2.626708899988614,1.4543921622589551E-16,1.3156142841808106E-16
-2.622606799988489,1.4477308241112042E-16,1.2745360322696796E-16
-2.618504699988364,1.4732659536775827E-16,1.3511414209688156E-16
-2.6144025999882388,1.5354384430565915E-16,1.3489209749195653E-16
-2.6103004999881136,1.4832579608992092E-16,1.3389289676979387E-16
-2.6061983999879885,1.5354384430565915E-16,1.3100631690576846E-16
-2.6020962999878634,1.532107773982716E-16,1.3167245072054356E-16
-2.5979941999877383,1.4177548024463248E-16,1.3011813848606834E-16
-2.593892099987613,1.438849039914203E-16,1.3289369604763124E-16
-2.589789999987488,1.5332179970073412E-16,1.3422596367718143E-16
-2.585687899987363,1.4277468096679513E-16,1.297850715786808E-16
-2.581585799987238,1.4876988529977099E-16,1.2734258092450546E-16
-2.5774836999871127,1.3844481117075703E-16,1.2723155862204293E-16
-2.5733815999869876,1.4377388168895776E-16,1.2945200467129324E-16
-2.5692794999868624,1.4077627952246985E-16,1.2934098236883074E-16
-2.5651773999867373,1.4077627952246985E-16,1.3145040611561853E-16
-2.561075299986612,1.4410694859634532E-16,1.2734258092450546E-16
-2.556973199986487,1.4011014570769476E-16,1.2612133559741777E-16
-2.552871099986362,1.4699352846037073E-16,1.3278267374516872E-16
-2.548768999986237,1.3933298959045713E-16,1.3267165144270621E-16
-2.5446668999861117,1.375566327510569E-16,1.220135104063047E-16
-2.5405647999859866,1.4432899320127036E-16,1.262323578998803E-16
-2.5364626999858615,1.4832579608992092E-16,1.2856382625159312E-16
-2.5323605999857364,1.4344081478157023E-16,1.2800871473928055E-16
-2.5282584999856113,1.4843681839238343E-16,1.353361867018066E-16
-2.524156399985486,1.4410694859634532E-16,1.2900791546144318E-16
-2.520054299985361,1.3844481117075703E-16,1.2922996006636821E-16
-2.515952199985236,1.3233858453531865E-16,1.1379786002407854E-16
-2.5118500999851108,1.3522516439934406E-16,1.1579626146840382E-16
-2.5077479999849857,1.3700152123874432E-16,1.177946629127291E-16
-2.5036458999848605,1.333377852574813E-16,1.1313172620930344E-16
-2.4995437999847354,1.3866685577568206E-16,1.141309269314661E-16
-2.4954416999846103,1.318944953254686E-16,1.1446399383885363E-16
-2.491339599984485,1.346700528870315E-16,1.1690648449302898E-16
-2.48723749998436,1.304512053934559E-16,1.1191048088221578E-16
-2.483135399984235,1.3167245072054356E-16,1.170175067954915E-16
-2.47903329998411,1.361133428190442E-16,1.1457501614131616E-16
-2.4749311999839847,1.3500311979441903E-16,1.141309269314661E-16
-2.4708290999838596,1.2823075934420558E-16,1.1191048088221578E-16
-2.4667269999837345,1.3855583347321954E-16,1.1368683772161603E-16
-2.4626248999836093,1.2789769243681802E-16,1.1468603844377866E-16
-2.458522799983484,1.3800072196090697E-16,1.163513729807164E-16
-2.454420699983359,1.27675647831893E-16,1.1679546219056647E-16
-2.450318599983234,1.3000711618360584E-16,1.149080830487037E-16
-2.446216499983109,1.391109449855321E-16,1.1979306435705439E-16
-2.4421143999829837,1.3988810110276973E-16,1.2279066652354232E-16
-2.4380122999828586,1.27675647831893E-16,1.1957101975212935E-16
-2.4339101999827335,1.3100631690576846E-16,1.1224354778960331E-16
-2.4298080999826084,1.3278267374516872E-16,1.176836406102666E-16
-2.4257059999824833,1.3156142841808106E-16,1.147970607462412E-16
-2.421603899982358,1.334488075599438E-16,1.1590728377086635E-16
-2.417501799982233,1.312283615106935E-16,1.1246559239452835E-16
-2.413399699982108,1.3167245072054356E-16,1.147970607462412E-16
-2.409297599981983,1.353361867018066E-16,1.1379786002407854E-16
-2.4051954999818577,1.3389289676979387E-16,1.1179945857975325E-16
-2.4010933999817325,1.346700528870315E-16,1.1612932837579138E-16
-2.3969912999816074,1.2811973704174306E-16,1.1202150318467828E-16
-2.3928891999814823,1.3156142841808106E-16,1.1379786002407854E-16
-2.388787099981357,1.3788969965844444E-16,1.1568523916594132E-16
-2.384684999981232,1.3167245072054356E-16,1.1513012765362872E-16
-2.380582899981107,1.3211653993039362E-16,1.1513012765362872E-16
-2.376480799980982,1.3322676295501878E-16,1.129096816043784E-16
-2.3723786999808567,1.1612932837579138E-16,1.013633621482768E-16
-2.3682765999807316,1.2012613126444195E-16,1.0191847366058937E-16
-2.3641744999806065,1.262323578998803E-16,1.0680345496894006E-16
